# Logfile created on 2017-02-06 13:39:59 +0100 by logger.rb/56438
I, [2017-02-06T15:18:19.398591 #24111]  INFO -- : (0.000176s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:33:01.042160 #24579]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:33:01.042421 #24579]  INFO -- : (0.000036s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:33:01.042648 #24579]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:33:01.042861 #24579]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:34:30.495032 #24609]  INFO -- : (0.000368s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:34:30.495148 #24609]  INFO -- : (0.000021s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:34:30.495281 #24609]  INFO -- : (0.000081s) SELECT sqlite_version()
I, [2017-02-06T15:34:30.495678 #24609]  INFO -- : (0.000038s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:34:30.495953 #24609]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:34:30.496242 #24609]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:34:30.496485 #24609]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:34:30.496724 #24609]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:13.236695 #24629]  INFO -- : (0.000212s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:35:13.236796 #24629]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:35:13.236923 #24629]  INFO -- : (0.000081s) SELECT sqlite_version()
I, [2017-02-06T15:35:13.237289 #24629]  INFO -- : (0.000044s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:13.237556 #24629]  INFO -- : (0.000045s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:13.237846 #24629]  INFO -- : (0.000034s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:13.238084 #24629]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:13.238293 #24629]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:50.017560 #24650]  INFO -- : (0.000333s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:35:50.017664 #24650]  INFO -- : (0.000019s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:35:50.017794 #24650]  INFO -- : (0.000079s) SELECT sqlite_version()
I, [2017-02-06T15:35:50.018173 #24650]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:50.018450 #24650]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:50.018738 #24650]  INFO -- : (0.000049s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:50.018970 #24650]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:35:50.019189 #24650]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:36:36.948797 #24673]  INFO -- : (0.000208s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:36:36.948900 #24673]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:36:36.954189 #24673]  INFO -- : (0.000090s) SELECT sqlite_version()
I, [2017-02-06T15:36:36.954589 #24673]  INFO -- : (0.000040s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:36:36.954925 #24673]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:36:36.955186 #24673]  INFO -- : (0.000037s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:36:36.955401 #24673]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:36:36.955604 #24673]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:04.767681 #24689]  INFO -- : (0.000199s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:37:04.767778 #24689]  INFO -- : (0.000017s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:37:04.767886 #24689]  INFO -- : (0.000065s) SELECT sqlite_version()
I, [2017-02-06T15:37:04.768219 #24689]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:04.768586 #24689]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:04.768848 #24689]  INFO -- : (0.000039s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:04.769059 #24689]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:04.769266 #24689]  INFO -- : (0.000027s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:44.651792 #24711]  INFO -- : (0.000309s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:37:44.651889 #24711]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:37:44.652009 #24711]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T15:37:44.652367 #24711]  INFO -- : (0.000034s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:44.652626 #24711]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:44.652874 #24711]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:44.653093 #24711]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:37:44.653296 #24711]  INFO -- : (0.000027s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:30.325660 #24822]  INFO -- : (0.000311s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:40:30.325757 #24822]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:40:30.325889 #24822]  INFO -- : (0.000085s) SELECT sqlite_version()
I, [2017-02-06T15:40:30.326235 #24822]  INFO -- : (0.000034s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:30.326498 #24822]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:30.326812 #24822]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:30.327030 #24822]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:30.327234 #24822]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:55.852762 #24836]  INFO -- : (0.000314s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:40:55.852863 #24836]  INFO -- : (0.000019s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:40:55.852986 #24836]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T15:40:55.853351 #24836]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_context_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:55.853618 #24836]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:55.853881 #24836]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_project_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:55.854110 #24836]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_rating_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `reaching_goals` Text, `difficulties` Text, `unexpected_results` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:40:55.854320 #24836]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_poll` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_context_poll`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T15:41:07.672876 #24850]  INFO -- : (0.000312s) PRAGMA foreign_keys = 1
I, [2017-02-06T15:41:07.672977 #24850]  INFO -- : (0.000017s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T15:41:07.673117 #24850]  INFO -- : (0.000083s) SELECT sqlite_version()
